energy,rho,z,px,spx,py,spy,pz,spz,dtheta,sdx,dy,sdy,dz,sdz,emean,eres,
3.25,7000,7000,258.034,28.6982,238.298,22.7602,619.112,97.4955,1.62028,1.62587,1.49765,1.28786,1.27255,1.0456,16.5514,2.63821,
3.75,1000,1000,278.581,9.24412,267.73,8.31273,378.722,13.002,0.921926,0.130018,0.715918,0.0594788,0.803175,0.144031,15.4131,0.408939,
3.75,1000,3000,302.297,5.22154,292.307,4.99693,345.326,6.08466,0.934833,0.0738183,1.0351,0.0967805,0.588955,0.0336389,17.3837,0.286659,
3.75,1000,5000,315.088,3.99497,313.808,3.92942,330.132,4.27493,0.956098,0.0619932,0.925054,0.05468,0.659226,0.0289271,16.9852,0.218523,
3.75,1000,7000,221.594,5.27559,221.883,5.8112,275.681,6.00761,0.837602,0.0660654,0.815169,0.0601784,0.723704,0.0553684,18.6652,0.370859,
3.75,3000,1000,300.563,27.2467,315.473,21.5918,365.432,31.1773,1.43516,1.02101,1.14412,0.533942,0.779365,0.352226,16.5873,1.41773,
3.75,3000,3000,290.782,10.887,310.068,11.7129,332.774,11.2997,0.973048,0.209586,1.06648,0.253598,0.665059,0.104167,17.0924,0.666911,
3.75,3000,5000,295.303,8.15601,299.876,7.58446,333.304,8.48483,0.949287,0.135572,0.812617,0.106797,1.1362,0.25249,17.3907,0.504318,
3.75,3000,7000,218.862,10.5586,214.055,10.0088,288.55,14.1696,1.11966,0.397005,1.14827,0.340022,0.837483,0.157217,19.8509,0.951096,
3.75,5000,1000,245.267,17.0963,270.046,19.0047,334.613,36.6317,0.923629,0.297035,1.02704,0.356606,0.568248,0.214021,15.4506,1.06986,
3.75,5000,3000,283.627,10.1008,277.5,9.00915,341.709,13.9672,0.848457,0.151981,0.878888,0.144619,0.621257,0.0961813,17.0266,0.536918,
3.75,5000,5000,308.985,9.3523,312.482,9.71995,355.922,10.0271,0.911051,0.129247,0.959607,0.148664,0.708281,0.0747182,17.0828,0.434104,
3.75,5000,7000,230.721,12.981,237.785,11.5599,293.166,17.6837,1.3575,0.713457,1.23255,0.537734,1.29464,0.667905,16.6999,0.774048,
3.75,7000,1000,206.457,39.7214,214.406,34.7301,545.138,179.102,2.67493,3.62394,2.99914,3.18051,3.63186,2.83386,13.3648,2.00299,
3.75,7000,3000,265.025,21.0617,247.069,16.3366,621.011,75.6973,1.42924,1.00031,5.50026,2.94043,2.42247,2.33582,19.4257,1.37703,
3.75,7000,5000,240.599,14.0379,245.568,14.334,473.303,25.2206,1.1763,0.464267,1.37195,0.76061,1.42416,0.914269,18.8529,0.992305,
3.75,7000,7000,266.791,29.9524,261.3,22.4798,660.326,84.2112,1.48416,1.16776,1.30618,0.9379,1.04872,0.843935,17.2032,1.26984,
4.25,1000,1000,287.228,9.34575,258.062,7.32193,323.281,12.9707,0.737376,0.0823984,0.875583,0.106931,0.903327,0.189403,17.3522,0.543061,
4.25,1000,3000,288.473,4.7968,278.763,4.63798,345.795,6.17101,0.838569,0.0551533,0.838813,0.0591543,0.64437,0.0426456,18.1791,0.317526,
4.25,1000,5000,314.369,3.98651,311.478,3.68276,307.18,3.52419,0.849624,0.0431143,0.92184,0.0543864,0.614328,0.0240543,17.8154,0.231237,
4.25,1000,7000,222.43,5.05386,221.142,5.07675,264.598,5.91202,0.746747,0.0474235,1.15419,0.164051,0.583172,0.0366193,19.6385,0.406372,
4.25,3000,1000,291.223,21.1532,298.886,22.7279,347.133,24.5086,1.02699,0.433276,1.21191,0.668114,1.99349,2.68454,18.09,1.32807,
4.25,3000,3000,284.51,10.6352,292.893,12.0086,351.607,13.1743,0.827469,0.143489,1.08554,0.279151,0.716434,0.114857,17.8406,0.670644,
4.25,3000,5000,310.54,8.83653,330.394,8.79685,325.429,8.77944,0.72706,0.0712597,1.0687,0.205409,0.704871,0.0708611,17.7103,0.509184,
4.25,3000,7000,239.023,12.3883,220.134,14.2063,276.778,14.4426,1.03137,0.329948,0.868621,0.203151,1.16018,0.451847,18.5287,0.912956,
4.25,5000,1000,274.021,21.4371,245.455,16.6613,328.354,24.1623,1.0799,0.575854,5.89436,4.87727,0.907226,0.741348,17.5694,1.26011,
4.25,5000,3000,264.15,9.26069,268.244,9.46696,330.311,11.7452,0.884533,0.173545,0.974414,0.212427,0.560594,0.0855058,18.2048,0.70295,
4.25,5000,5000,287.891,8.91677,283.728,8.94854,350.768,10.6298,0.739911,0.0790997,1.22738,0.305799,0.797197,0.117824,18.1257,0.478493,
4.25,5000,7000,249.268,13.6848,264.091,12.4227,308.293,15.4774,1.19035,0.403212,0.889524,0.177012,0.782359,0.178825,18.9067,0.937157,
4.25,7000,1000,235.41,29.6875,199.374,35.5996,590.809,174.243,5.4866,5.00375,2.02249,3.86023,0.520211,0.387623,18.5968,2.96176,
4.25,7000,3000,222.037,21.3548,242.026,19.3935,564.028,63.9969,5.69828,3.79469,1.29236,0.744915,0.978456,0.527583,20.5381,1.57748,
4.25,7000,5000,265.006,14.6133,237.981,14.2993,560.256,36.9977,1.60202,1.06933,1.17453,0.48837,2.36318,3.56211,18.4842,1.01845,
4.25,7000,7000,271.297,32.5028,197.709,19.0709,668.095,84.7023,3.76413,4.33887,1.20763,0.745784,1.99022,3.47945,16.9946,2.28542,
4.75,1000,1000,265.393,8.69647,268.141,7.80325,342.49,13.1085,0.888811,0.120859,0.906995,0.128994,0.852039,0.223383,19.2904,0.626717,
4.75,1000,3000,278.767,4.53498,289.487,4.7944,327.554,5.40001,0.887666,0.0635975,0.889552,0.0612356,0.598175,0.0354851,18.7716,0.308369,
4.75,1000,5000,310.865,3.90489,308.841,3.73813,308.777,3.71513,0.95348,0.0611486,0.915686,0.0524195,0.647057,0.0307173,19.258,0.252414,
4.75,1000,7000,223.379,5.45239,204.958,5.3313,270.815,5.47274,0.816644,0.0609167,1.09366,0.130562,0.74,0.0644311,19.3181,0.382744,
4.75,3000,1000,239.724,16.9108,310.161,24.753,376.923,32.4041,1.02906,0.448056,1.18942,0.666188,1.11241,0.986957,17.4637,1.14357,
4.75,3000,3000,299.199,12.1037,292.66,10.5622,324.04,10.7204,0.778918,0.128322,0.959736,0.215371,0.582208,0.0691584,17.6259,0.573316,
4.75,3000,5000,315.016,9.70914,305.081,7.73116,319.176,8.51473,0.742617,0.06982,0.673949,0.058044,0.674145,0.0566388,18.7679,0.574779,
4.75,3000,7000,202.36,9.67897,196.207,9.52498,258.065,10.8111,1.09361,0.361205,1.51584,0.883811,0.937644,0.220287,19.8669,0.936752,
4.75,5000,1000,233.626,15.1075,255.44,21.4164,335.806,24.1918,1.67775,1.70629,2.73684,3.18291,0.908235,0.649125,20.1952,1.54956,
4.75,5000,3000,266.194,9.93788,259.042,9.2504,328.551,12.8779,1.15432,0.379736,0.768048,0.106628,0.897294,0.269421,19.3274,0.667879,
4.75,5000,5000,309.332,8.55456,304.119,9.86458,347.684,10.8283,0.755809,0.0830415,0.762707,0.0871302,0.602315,0.0543484,19.3722,0.591451,
4.75,5000,7000,242.846,10.9572,256.777,12.3045,352.456,16.8615,1.24661,0.468364,1.14936,0.388524,0.893108,0.246496,21.7239,1.02579,
4.75,7000,1000,300.579,84.715,217.521,51.9539,5509.44,4495.49,1.7115,3.13923,2.45689,3.98769,1.57481,1.95367,19.8834,4.5123,
4.75,7000,3000,243.915,19.1743,234.946,17.391,422.104,41.9732,1.09527,0.520985,2.78358,3.07532,4.43166,4.36556,17.4129,1.36488,
4.75,7000,5000,251.553,12.5576,289.432,20.2031,519.072,29.7303,2.22988,3.71596,0.932325,0.227657,0.948782,0.275767,19.3855,0.8261,
4.75,7000,7000,269.581,28.0564,289.353,33.5508,539.047,61.2228,1.57799,1.57392,5.37707,4.4353,4.71233,2.84962,20.6311,2.19776,
5.25,1000,1000,244.532,6.87026,247.569,6.94436,367.651,10.9016,0.869958,0.111798,0.922721,0.117782,0.725186,0.120231,18.8109,0.562726,
5.25,1000,3000,269.946,4.21186,277.242,4.98431,335.363,6.4525,0.780622,0.0477408,1.07971,0.116139,0.635918,0.0362262,19.962,0.314161,
5.25,1000,5000,306.817,3.92394,306.613,4.01292,307.598,3.41259,0.852178,0.0453477,1.03048,0.074637,0.643559,0.0273869,20.0087,0.243668,
5.25,1000,7000,208.176,5.0117,218.696,5.14076,258.779,5.09816,0.792483,0.0545237,1.19962,0.178407,0.654234,0.049365,21.0111,0.41183,
5.25,3000,1000,312.019,28.3421,252.657,22.0678,399.12,35.6594,0.938959,0.34573,1.46284,1.06984,1.29884,2.51034,19.9003,1.43809,
5.25,3000,3000,286.949,10.4222,279.143,9.74446,339.524,11.1067,1.09304,0.283275,1.12252,0.299956,0.681923,0.0971488,17.8118,0.730813,
5.25,3000,5000,317.053,8.78653,291.244,8.49266,335.145,9.72968,0.770645,0.0784025,1.1102,0.221799,0.751961,0.0793204,20.1658,0.559846,
5.25,3000,7000,216.706,9.93956,208.067,10.6409,277.18,14.4025,2.86786,3.91838,1.38425,0.658171,1.04492,0.291672,21.7781,1.0802,
5.25,5000,1000,241.827,17.5939,289.833,26.0781,336.304,28.2904,1.14179,0.506365,1.36218,0.851026,0.613057,0.278855,20.3515,1.69441,
5.25,5000,3000,256.751,8.87977,255.224,9.00856,321.615,12.7528,0.73087,0.102398,4.28315,3.27473,0.82319,0.186085,20.0229,0.718931,
5.25,5000,5000,300.693,7.99944,281.785,8.73,334.417,8.09987,0.712716,0.0673138,1.13619,0.236314,0.795475,0.0962371,19.6272,0.550558,
5.25,5000,7000,240.844,9.34586,234.961,9.28976,309.409,12.8702,1.3862,0.704621,1.24743,0.444399,0.922954,0.248131,20.815,0.815791,
5.25,7000,1000,305.297,104.784,229.49,43.0146,933.197,404.856,5.27849,4.47536,1.75839,3.05262,0.653103,0.66882,20.0038,6.11472,
5.25,7000,3000,221.263,20.5021,253.062,21.3696,470.072,45.2098,1.47709,1.17428,1.23863,0.785647,2.30614,2.51022,19.8586,1.61708,
5.25,7000,5000,270.434,16.6621,266.591,14.7948,523.979,24.6895,1.26129,0.665032,1.07231,0.362305,1.07435,0.412811,21.8048,1.10758,
5.25,7000,7000,273.516,24.4062,262.873,21.6457,676.915,74.8439,1.27555,0.858918,0.952987,0.349556,0.770485,0.29546,23.4378,2.77169,
5.75,1000,1000,265.475,7.76612,266.737,7.55016,343.521,10.0035,0.856162,0.107124,0.98512,0.149304,1.08496,0.320342,20.1066,0.580646,
5.75,1000,3000,268.843,4.72943,266.677,4.1625,320.699,5.25117,0.895872,0.0615608,0.947391,0.0749188,0.603243,0.035126,20.5527,0.362398,
5.75,1000,5000,302.603,3.99337,297.237,4.09354,300.741,3.5867,0.933749,0.0568777,1.11409,0.0908607,0.672371,0.0313123,21.0256,0.279018,
5.75,1000,7000,207.248,4.63371,208.766,4.93116,262.457,5.16572,0.829472,0.0614911,0.948927,0.0876644,0.564155,0.0344066,21.3276,0.436817,
5.75,3000,1000,237.778,22.5623,272.912,19.6468,322.732,18.6318,0.885436,0.257242,1.1359,0.51621,3.42932,2.47019,20.923,1.24758,
5.75,3000,3000,260.39,9.58686,267.443,11.1949,337.951,11.3072,0.810565,0.129581,0.929781,0.188255,0.739396,0.126366,21.2817,0.767979,
5.75,3000,5000,290.585,7.76651,297.317,7.63082,308.443,9.046,0.819137,0.0955253,0.827292,0.0983181,0.869186,0.120896,19.9338,0.495039,
5.75,3000,7000,191.946,9.64819,191.876,11.0751,247.898,11.9456,0.982249,0.286266,1.05146,0.324501,0.931363,0.231628,23.3614,1.36062,
5.75,5000,1000,236.075,15.7379,219.517,20.5407,316.896,27.5484,3.89571,2.80988,1.60312,1.30852,0.928201,0.760339,19.9884,1.3757,
5.75,5000,3000,279.587,13.0335,268.015,11.3375,320.484,12.6647,1.29722,0.499569,1.17759,0.343755,0.886851,0.243204,21.494,0.833566,
5.75,5000,5000,285.399,8.1819,294.802,8.20217,332.386,8.39684,0.876356,0.121288,0.81277,0.0869695,0.719452,0.0799037,20.1202,0.500537,
5.75,5000,7000,243.111,15.8252,245.549,12.6437,307.404,16.1067,1.10392,0.367965,1.07301,0.319421,0.946429,0.258607,22.3791,1.13699,
5.75,7000,1000,281.887,56.273,198.404,59.2005,4541.59,4416.01,1.88776,3.48959,2.25861,3.39083,3.43181,3.21886,24.8764,3.7375,
5.75,7000,3000,251.825,18.7354,215.263,13.5246,536.016,50.3753,1.37409,0.961819,1.40122,0.967732,1.06569,0.706786,21.1028,1.62141,
5.75,7000,5000,219.217,15.0304,258.889,13.3636,567.727,37.7235,1.01374,0.33057,1.10427,0.436927,1.17623,0.585846,23.2111,1.17206,
5.75,7000,7000,224.796,25.424,284.169,26.4244,584.668,66.0476,2.48415,3.28791,5.23325,4.66119,1.31341,1.23933,23.0632,3.08808,
6.25,1000,1000,271.543,7.62667,263.779,8.22088,325.132,9.6719,0.838007,0.103083,0.974866,0.146988,0.639981,0.0973634,21.2576,0.634113,
6.25,1000,3000,271.875,4.78611,267.47,4.4604,310.326,5.46947,0.921962,0.0711606,1.08945,0.112873,0.6858,0.0496073,21.3663,0.356035,
6.25,1000,5000,303.858,4.05834,300.389,4.18483,305.28,3.84965,0.911261,0.054931,0.965733,0.061255,0.629024,0.0269345,22.3321,0.283247,
6.25,1000,7000,212.434,4.8248,215.691,4.95897,249.176,4.79055,0.993225,0.110313,0.902319,0.079449,0.698948,0.0485597,23.4841,0.50685,
6.25,3000,1000,255.824,16.7612,252.411,18.966,375.713,29.1521,1.34274,0.946321,0.901836,0.268911,1.35312,1.45638,20.2881,1.55196,
6.25,3000,3000,266.144,10.1625,271.001,9.50891,322.751,11.6791,0.737237,0.104897,0.892589,0.186686,0.808022,0.116332,21.6366,0.783743,
6.25,3000,5000,297.846,8.15847,301.556,8.78656,302.157,8.06763,1.05462,0.181569,0.931912,0.14012,0.845753,0.106085,20.8374,0.643345,
6.25,3000,7000,201.225,12.9161,197.609,10.3911,252.566,11.3649,0.914907,0.199466,0.922427,0.213291,1.95432,1.74163,22.4222,0.924595,
6.25,5000,1000,246.428,19.1333,235.367,18.6296,324.999,26.6365,1.12928,0.498083,1.05465,0.385017,3.30284,3.03213,17.6499,1.07075,
6.25,5000,3000,239.325,8.59103,260.579,9.73393,278.942,10.3344,0.925113,0.183305,0.713462,0.0863164,0.687122,0.126503,19.7619,0.718254,
6.25,5000,5000,281.938,8.50414,292.41,9.23612,352.776,10.4222,0.863919,0.110469,1.05472,0.205647,0.796107,0.0970287,21.8132,0.59956,
6.25,5000,7000,244.966,15.251,244.403,11.3093,311.839,14.3218,1.06665,0.338259,0.918522,0.197015,1.44105,0.844246,23.3409,0.894764,
6.25,7000,1000,218.377,45.0311,248.583,53.4361,746.037,340.898,5.39369,4.83173,1.46101,1.69494,2.20399,2.50171,28.5236,6.31197,
6.25,7000,3000,220.709,16.3639,196.344,14.9713,684.156,133.712,5.24868,4.02637,2.85195,3.0115,1.11723,0.928948,20.3734,1.90996,
6.25,7000,5000,235.663,11.5046,250.305,14.0559,607.82,42.761,1.00874,0.297053,1.00609,0.26001,0.692434,0.170496,23.9647,1.11959,
6.25,7000,7000,217.922,19.6918,196.702,17.6717,708.908,97.2104,3.28288,2.97292,2.42155,3.45902,2.66509,3.1489,22.5392,2.36651,
